Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
Mandela: Long Walk to Freedom,"Fosco Park, 1312, Roosevelt Square, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60608, United States",PG-13,2014,2014-07-18,Y,60608,Fosco Park
The Wiz ,,G,2014,2014-07-02,N,60649,Woodhull Playground Park
Cloudy with a Chance of Meatballs 2,"Haas Park, 2402, Maplewood, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",PG,2014,2014-06-27,Y,60647,Haas Park
Mr. Peabody & Sherman,"Senka Park, 5400, Gage Park, Chicago, Lake Township, Cook County, Illinois, 60629, United States",PG,2014,2014-08-03,Y,60629,Senka Park
Buck and the Preacher,"Calumet Park, Calumet Township, Cook County, Illinois, United States",PG,2014,2014-07-21,Y,60617,Calumet Park
42,,PG-13,2014,2014-07-02,Y,60621,Moran Playground Park
The Hunger Games: Catching Fire,"Piotrowski Park, 4247, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",PG-13,2014,2014-08-06,Y,60623,Piotrowski Park
Lee Daniels' The Butler,"Dunbar Park, 300, Douglas, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",PG-13,2014,2014-06-19,Y,60616,Dunbar Park
Captain Phillips,"Loyola Park, 956, Linden Walk, Beacon Hill-Cyrville, Ottawa, Eastern Ontario, Ontario, Canada",PG-13,2014,2014-07-19,Y,60626,Loyola Park
Frozen,"Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",PG,2014,2014-07-09,N/A,60641,Portage Park
The Benchwarmers,"Humboldt Park, Chicago, West Chicago Township, Cook County, Illinois, 60651, United States",PG-13,2014,2014-08-22,Y,60622,Humboldt Park
Free Birds,"Norwood Park, Chicago, Jefferson Township, Cook County, Illinois, United States",PG,2014,2014-08-15,N/A,60631,Norwood Park
Happy Feet,"Hayes Park, Midsomer Norton, Bath and North East Somerset, West of England, England, BA3 2QH, United Kingdom",PG,2014,2014-07-09,Y,60652,Hayes Park
Latino Film Festival Selection,"Hermosa Park, 2240, Beat 2522, Hermosa, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",NR,2014,2014-07-30,N,60639,Hermosa Park
The Smurfs 2 ,"Brooks Park, 7100, Edison Park, Chicago, Jefferson Township, Cook County, Illinois, 60631, United States",PG,2014,2014-07-18,Y,60631,Brooks Park
Latino Film Festival Selection,"Municipality of Harrison Park, Manitoba, Canada",NR,2014,2014-08-13,N,60608,Harrison Park
Cloudy With a Chance of Meatballs 2,"Trebes Park, 2250, Lincoln Park, Chicago, North Chicago Township, Cook County, Illinois, 60614, United States",PG,2014,2014-08-05,Y,60614,Trebes Park
Gravity ,,PG-13,2014,2014-06-21,Y,60653,Ellis (Samuel) Park
Jurassic Park,"Wentworth Park, Glebe, Inner West, Sydney, New South Wales, 2037, Australia",PG-13,2014,2014-07-01,Y,60638,Wentworth Park
@home,"Lake Shore Park, Saint Petersburg, Pinellas County, Florida, 33705, United States",NR,2014,2014-06-05,N,60611,Lake Shore Park
The Great Gatsby (2013),"Palmer Park, Landover, Prince George's County, Maryland, 20785, United States",PG-13,2014,2014-08-24,Y,60628,Palmer Park
The Lego Movie,"Lake Shore Park, Saint Petersburg, Pinellas County, Florida, 33705, United States",PG,2014,2014-08-18,Y,60611,Lake Shore Park
Lego Movie,"Independence Park, Parade Boulevard, Stadium Gardens, New Kingston, Saint Andrew, Surrey County, Jamaica",PG,2014,2014-08-08,N/A,60618,Independence Park
Frozen,"Independence Park, Parade Boulevard, Stadium Gardens, New Kingston, Saint Andrew, Surrey County, Jamaica",PG,2014,2014-06-13,N/A,60618,Independence Park
Rebel Without a Cause,"Jackson Park, 6401, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",PG-13,2014,2014-07-28,Y,60637,Jackson Park
The Family That Preys,"Palmer Park, Landover, Prince George's County, Maryland, 20785, United States",PG-13,2014,2014-07-17,N,60628,Palmer Park
Latino Film Festival Selection,"Kilbourn Park, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",NR,2014,2014-07-23,N,60641,Kilbourn Park
Dirty Dancing,,PG-13,2014,2014-06-25,Y,60607,"Bartelme, Mary Park"
How to Train Your Dragon,"Marquette Park, 6743, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",PG,2014,2014-06-17,Y,60629,Marquette Park
Hairspray,"Bell Park, Geelong, City of Greater Geelong, Victoria, 3215, Australia",PG,2014,2014-08-21,N/A,60634,Bell Park
Jaws,"Jackson Park, 6401, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",PG,2014,2014-06-30,Y,60637,Jackson Park
The Little Rascals,"Mann Park, 3055, Hegewisch, Chicago, Hyde Park Township, Cook County, Illinois, 60633, United States",PG,2014,2014-07-23,Y,60633,Mann Park
As Good As It Gets,"Montgomery Park, Johannesburg Ward 88, Randburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2109, South Africa",PG-13,2014,2014-06-17,N,60606,"Ward, A. Montgomery Park"
Willy Wonka and the Chocolate Factory,"Trebes Park, 2250, Lincoln Park, Chicago, North Chicago Township, Cook County, Illinois, 60614, United States",G,2014,2014-08-27,N/A,60614,Trebes Park
Superman,"Owens Park, Cranebrook, Sydney, New South Wales, 2749, Australia, Penrith City Council",PG,2014,2014-07-30,N,60617,Owens Park
42,"Burnside Park, Providence, Providence County, Rhode Island, United States",PG-13,2014,2014-08-27,Y,60619,Burnside Park
Lee Daniels' The Butler,"Grand Crossing Park, 7655, Grand Crossing, Greater Grand Crossing, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG-13,2014,2014-08-05,Y,60619,Grand Crossing Park
Rookie of the Year,"Oz Park, 2021, Lincoln Park, Chicago, North Chicago Township, Cook County, Illinois, 60614, United States",PG,2014,2014-06-14,Y,60614,Oz Park
Ironman 3,"Chopin Park, 3420, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",PG-13,2014,2014-09-13,N/A,60641,Chopin Park
Mandela: Long Walk to Freedom,"Brainerd Park, Chattanooga, Hamilton County, East Tennessee, Tennessee, 37411, United States",PG-13,2014,2014-07-12,Y,60620,Brainerd Park
Lego Movie,"Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",PG,2014,2014-08-20,N/A,60641,Portage Park
Ride Along,"Amundsen Park, 6200, Beat 2513, Austin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",PG-13,2014,2014-07-22,Y,60639,Amundsen Park
The Book Thief ,"Humboldt Park, Chicago, West Chicago Township, Cook County, Illinois, 60651, United States",PG-13,2014,2014-07-20,Y,60622,Humboldt Park
The Lego Movie,"West Lawn Park, 4233, West Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",PG,2014,2014-08-05,N,60629,West Lawn Park
Space Jam,"Taylor Park, Lincoln, Lancaster County, Nebraska, United States",PG,2014,2014-06-29,Y,60609,Taylor Park
Mr. Peabody & Sherman,"McKinley Park, Chicago, South Chicago Township, Cook County, Illinois, United States",PG,2014,2014-07-06,Y,60609,McKinley Park
Despicable Me 2,,PG,2014,2014-06-12,Y,60622,Commercial Club Playground
Gravity,"Hamilton Park, Staten Island, Richmond County, New York, 10301, United States",PG-13,2014,2014-06-19,N,60621,Hamilton Park
The Fantastic Mr. Fox,"Kenwood Community Park, 1330, Indian Village, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",PG,2014,2014-07-02,Y,60615,Kenwood Community Park
Gravity,"Montgomery Park, Johannesburg Ward 88, Randburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2109, South Africa",PG-13,2014,2014-07-29,Y,60606,"Ward, A. Montgomery Park"
Latino Film Festival Selection,"Loyola Park, 956, Linden Walk, Beacon Hill-Cyrville, Ottawa, Eastern Ontario, Ontario, Canada",NR,2014,2014-08-06,N,60626,Loyola Park
Sixteen Candles,"Fulton River Park, 353, West Loop, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60661, United States",PG-13,2014,2014-07-21,N,60611,Park No. 551
Jumanji,"Ridge Park, 1943, Gloucester, Beacon Hill-Cyrville, Ottawa, Eastern Ontario, Ontario, Canada",PG,2014,2014-06-30,Y,60643,Ridge Park
Ferris Bueller's Day Off ,"Lincoln Park, Wayne County, Michigan, 48146, United States",PG-13,2014,2014-07-09,Y,60614,Lincoln Park
The Wiz,"South Shore Cultural Center, 7059, South Shore, Chicago, Hyde Park Township, Cook County, Illinois, 60649, United States",G,2014,2014-08-27,N,60649,South Shore Cultural Center
